,label,article
0,Precautionary principle,"The precautionary principle (or precautionary approach) is a broad epistemological, philosophical and legal approach to innovations with potential for causing harm when extensive scientific knowledge on the matter is lacking. It emphasizes caution, pausing and review before leaping into new innovations that may prove disastrous. Critics argue that it is vague, self-cancelling, unscientific and an obstacle to progress.In an engineering context, the precautionary principle manifests itself as the factor of safety, discussed in detail in the monograph of Elishakoff. It was apparently suggested, in civil engineering, by Belindor in 1729. Interrelation between safety factor and reliability is extensively studied by engineers and philosophers.
The principle is often used by policy makers in situations where there is the possibility of harm from making a certain decision (e.g. taking a particular course of action) and conclusive evidence is not yet available. For example, a government may decide to limit or restrict the widespread release of a medicine or new technology until it has been thoroughly tested. The principle acknowledges that while the progress of science and technology has often brought great benefit to humanity, it has also contributed to the creation of new threats and risks. It implies that there is a social responsibility to protect the public from exposure to such harm, when scientific investigation has found a plausible risk. These protections should be relaxed only if further scientific findings emerge that provide sound evidence that no harm will result.
The principle has become an underlying rationale for a large and increasing number of international treaties and declarations in the fields of sustainable development, environmental protection, health, trade and food safety, although at times it has attracted debate over how to accurately define it and apply it to complex scenarios with multiple risks. In some legal systems, as in law of the European Union, the application of the precautionary principle has been made a statutory requirement in some areas of law."
1,Food contamination,"Food contamination refers to the presence of harmful chemicals and microorganisms in food, which can cause consumer illness. This article addresses the chemical contamination of foods, as opposed to microbiological contamination, which can be found under foodborne illness.
The impact of chemical contaminants on consumer health and well-being is often apparent only after many years of processing and prolonged exposure at low levels (e.g., cancer). Unlike food-borne pathogens, chemical contaminants present in foods are often unaffected by thermal processing. Chemical contaminants can be classified according to the source of contamination and the mechanism by which they enter the food product."
2,National public health agencies,"This list of national public health agencies includes national level organizations responsible for public health, infectious disease control, and epidemiology. Many are represented in the International Association of National Public Health Institutes and discussed at national public health institutes. 

"
3,Mouth cancer,"Oral cancer, also known as mouth cancer, is cancer of the lining of the lips, mouth, or upper throat. In the mouth, it most commonly starts as a painless white patch, that thickens, develops red patches, an ulcer, and continues to grow. When on the lips, it commonly looks like a persistent crusting ulcer that does not heal, and slowly grows. Other symptoms may include difficult or painful swallowing, new lumps or bumps in the neck, a swelling in the mouth, or a feeling of numbness in the mouth or lips.Risk factors include tobacco and alcohol use. Those who use both alcohol and tobacco have a 15 times greater risk of oral cancer than those who use neither. Other risk factors include HPV infection, chewing paan, and sun exposure on the lower lip. Oral cancer is a subgroup of head and neck cancers. Diagnosis is made by biopsy of the concerning area, followed by investigation with CT scan, MRI, PET scan, and examination to determine if it has spread to distant parts of the body.
Oral cancer can be prevented by avoiding tobacco products, limiting alcohol use, sun protection on the lower lip, HPV vaccination, and avoidance of paan. Treatments used for oral cancer can include a combination of surgery (to remove the tumor and regional lymph nodes), radiation therapy, chemotherapy, or targeted therapy.  The types of treatments will depend on the size, locations, and spread of the cancer taken into consideration with the general health of the person.In 2018, oral cancer occurred globally in about 355,000 people, and resulted in 177,000 deaths. Between 1999 and 2015 in the United States, the rate of oral cancer increased 6% (from 10.9 to 11.6 per 100,000). Deaths from oral cancer during this time decreased 7% (from 2.7 to 2.5 per 100,000). Oral cancer has an overall 5 year survival rate of 65% in the United States as of 2015. This varies from 84% if diagnosed when localized, compared to 66% if it has spread to the lymph nodes in the neck, and 39% if it has spread to distant parts of the body. Survival rates also are dependent on the location of the disease in the mouth.

"
4,Public law,"Public law  is the part of law that governs relations between legal persons and a government, between different institutions within a state, between different branches of governments, and relationships between persons that are of direct concern to society. Public law comprises constitutional law, administrative law, tax law and criminal law, as well as all procedural law. (Laws concerning relationships between individuals belong to private law.)
The relationships public law governs are asymmetric and inequalized. Government bodies (central or local) can make decisions about the rights of persons. However, as a consequence of the rule-of-law doctrine, authorities may only act within the law (secundum et intra legem). The government must obey the law. For example, a citizen unhappy with a decision of an administrative authority can ask a court for judicial review.
Rights, too, can be divided into private rights and public rights. A paragon of a public right is the right to  welfare benefits – only a natural person can claim such payments, and they are awarded through an administrative decision out of the government budget.
The distinction between public law and private law dates back to Roman law, where the Roman jurist Ulpian (c. 170 – 228) first noted it. It was later adopted to understand the legal systems both of countries that adhere to the civil-law tradition, and of those that adhere to common-law tradition.
The borderline between public law and private law is not always clear. Law as a whole cannot neatly be divided into ""law for the State"" and ""law for everyone else"". As such, the distinction between public and private law is largely functional rather than factual, classifying laws according to which domain the activities, participants, and principle concerns involved best fit into. This has given rise to attempts to establish a theoretical understanding for the basis of public law.

"
5,Irawati Karve,"Irawati Karve (15 December 1905 – 11 August 1970) was an anthropologist, sociologist, educationist and writer from Maharashtra, India."
6,Social relation,"In social science, a social relation or social interaction is any relationship between two or more individuals. Social relations derived from individual agency form the basis of social structure and the basic object for analysis by social scientists. Fundamental inquiries into the nature of social relations feature in the work of sociologists such as Max Weber in his theory of social action. Social relationships are composed of both positive (affiliative) and negative (agonistic) interactions, representing opposing effectsSocial relationships are a special case of social relations that can exist without any communication taking place between the actors involved. Categorizing social interactions enables observational and other social research, such as Gemeinschaft and Gesellschaft (lit. 'community and society'), collective consciousness, etc. However, different schools and theories of sociology and other social sciences dispute the methods used for such investigations."
7,Aid,"In international relations, aid (also known as international aid, overseas aid, foreign aid, economic aid or foreign assistance) is – from the perspective of governments – a voluntary transfer of resources from one country to another.
Aid may serve one or more functions: it may be given as a signal of diplomatic approval, or to strengthen a military ally, to reward a government for behavior desired by the donor, to extend the donor's cultural influence, to provide infrastructure needed by the donor for resource extraction from the recipient country, or to gain other kinds of commercial access. Countries may provide aid for further diplomatic reasons. Humanitarian and altruistic purposes are often reasons for foreign assistance.Aid may be given by individuals, private organizations, or governments. Standards delimiting exactly the types of transfers considered ""aid"" vary from country to country. For example, the United States government discontinued the reporting of military aid as part of its foreign aid figures in 1958. The most widely used measure of aid is ""Official Development Assistance"" (ODA)."
8,Preventive chemotherapy,"Mass deworming, also called preventive chemotherapy, is the process of treating large numbers of people, particularly children, for helminthiasis (for example soil-transmitted helminths (STH)) and schistosomiasis in areas with a high prevalence of these conditions. It involves treating everyone – often all children who attend schools, using existing infrastructure to save money – rather than testing first and then only treating selectively. Serious side effects have not been reported when administering the medication to those without worms, and testing for the infection is many times more expensive than treating it. So for the same amount of money, mass deworming can treat more people more cost-effectively than selective deworming. Mass deworming is one example of mass drug administration.Mass deworming of children can be carried out by administering mebendazole and albendazole which are two types of anthelmintic drug. The cost of providing one tablet every six to twelve months per child (typical doses) is relatively low.Over 870 million children are at risk of parasitic worm infection. Worm infections interfere with nutrient uptake, can lead to anemia, malnourishment and impaired mental and physical development, and pose a serious threat to children’s health, education, and productivity. Infected children are often too sick or tired to concentrate at school, or to attend at all. In 2001, the World Health Assembly set a target for the World Health Organization (WHO) to treat 75% of school-aged children by 2010. There has been disagreement on the evidence regarding the extent of the long-term benefits for children who have been part of mass deworming programmes. A systematic literature review of 65 studies found that mass deworming of soil-transmitted helminths has little to no effect on children's weight, height, school attendance, cognition measured by short‐term attention, or mortality. Proponents of mass deworming argue that the methodology of studies that discount the value of mass deworming is biased, sample sizes have been small, and many studies did not evaluate more subtle long-term impacts. As a result, they argue that such studies should not be used alone in deciding mass deworming policy.Some non-governmental organizations specifically support mass deworming. The Deworm the World Initiative (a project of the non-governmental organization Evidence Action), the END Fund (founded by Legatum Foundation in 2012), the Schistosomiasis Control Initiative and Sightsavers are some of the highest-rated charities by the international evaluator Givewell because of the low cost of deworming children, large-scale implementation, and wider benefits to society."
9,Communicable disease,"A non-communicable disease (NCD) is a disease that is not transmissible directly from one person to another. NCDs include Parkinson's disease, autoimmune diseases, strokes, most heart diseases, most cancers, diabetes, chronic kidney disease, osteoarthritis, osteoporosis, Alzheimer's disease, cataracts, and others. NCDs may be chronic or acute. Most are non-infectious, although there are some non-communicable infectious diseases, such as parasitic diseases in which the parasite's life cycle does not include direct host-to-host transmission. 
NCDs are the leading cause of death globally. In 2012, they caused 68% of all deaths (38 million) up from 60% in 2000. About half were under age 70 and half were women. Risk factors such as a person's background, lifestyle and environment increase the likelihood of certain NCDs. Every year, at least 5 million people die because of tobacco use and about 2.8 million die from being overweight. High cholesterol accounts for roughly 2.6 million deaths and 7.5 million die because of high blood pressure.

"
